user_id,recomendations
76,"[874972, 901062, 909714, 6034780, 887503]"
77,"[948670, 1137387, 9521787, 1126899, 955921]"
78,"[874972, 820321, 1039627, 835098, 1082185]"
79,"[874972, 918598, 9884698, 1070820, 5569230]"
80,"[874972, 953561, 933067, 1029743, 1132771]"
81,"[874972, 878996, 1082185, 1029743, 1106523]"
82,"[12810464, 1084036, 12599756, 819308, 1029743]"
83,"[874972, 5568732, 829722, 867138, 897125]"
84,"[874972, 1029743, 1123496, 5592931, 849870]"
85,"[874972, 1097280, 913671, 938596, 839419]"
86,"[874972, 896292, 844179, 865026, 1029743]"
87,"[1048257, 5568447, 1079528, 13381584, 6391089]"
88,"[874972, 1070820, 963835, 1082990, 5565925]"
89,"[874972, 1029743, 1106523, 5569230, 916122]"
90,"[874972, 986912, 1078652, 1135552, 840890]"
91,"[9831557, 1109014, 14106445, 1029743, 989275]"
92,"[6552318, 899624, 9547021, 1113111, 869177]"
93,"[874972, 1029743, 5569230, 916122, 844179]"
94,"[874972, 1029743, 1106523, 5569230, 916122]"
95,"[1088771, 983584, 5567874, 922561, 9524291]"
96,"[874972, 916122, 844179, 1029743, 5569230]"
97,"[874972, 1132036, 1134810, 1075368, 844179]"
98,"[874972, 1070820, 9707078, 1091858, 12263841]"
99,"[874972, 7154535, 1118244, 1020962, 1020404]"
100,"[874972, 1106523, 5569230, 916122, 844179]"
101,"[12731432, 865026, 5568489, 1106523, 929410]"
102,"[874972, 1029743, 5569230, 916122, 844179]"
103,"[874972, 1029743, 1106523, 5569230, 916122]"
104,"[1069506, 1062128, 962991, 822225, 5569471]"
105,"[874972, 6534074, 8019649, 6391381, 12302069]"
106,"[874972, 5563693, 1047769, 5569230, 1135971]"
107,"[874972, 1029743, 844179, 5569230, 916122]"
108,"[874972, 9553048, 902037, 1135476, 1011457]"
109,"[825343, 919535, 829323, 862682, 1089025]"
110,"[874972, 948086, 9832160, 928749, 1135476]"
111,"[874972, 916122, 1029743, 1106523, 5569230]"
112,"[874972, 844697, 5566697, 933835, 1029743]"
113,"[9677366, 1131321, 6979518, 13115914, 8069230]"
114,"[874972, 1108296, 916122, 5568489, 1029743]"
115,"[1021324, 889509, 852600, 994223, 983584]"
116,"[874972, 979707, 1037863, 5569471, 1029743]"
117,"[874972, 1119761, 1041796, 934639, 979707]"
118,"[874972, 9803601, 1068719, 1082185, 1083043]"
119,"[874972, 8293382, 7166865, 869728, 979792]"
120,"[874972, 1029743, 1106523, 5569230, 916122]"
121,"[874972, 8090537, 899624, 1029743, 1029743]"
122,"[874972, 870547, 940947, 1029743, 1106523]"
123,"[874972, 1031864, 1007512, 1029743, 1056509]"
124,"[874972, 957063, 892531, 1029743, 1106523]"
125,"[874972, 834435, 1104343, 834117, 999104]"
126,"[874972, 1106523, 5569230, 916122, 844179]"
127,"[874972, 1099089, 6034857, 1075368, 835098]"
128,"[849202, 958027, 866211, 1098248, 1029743]"
129,"[874972, 1106523, 5569230, 916122, 844179]"
130,"[874972, 1029743, 5569230, 916122, 844179]"
131,"[12731517, 899624, 1048068, 1044078, 893018]"
132,"[874972, 929018, 1050851, 1126899, 854852]"
133,"[874972, 976199, 1053628, 1029743, 899459]"
134,"[874972, 916122, 844179, 1029743, 5569230]"
135,"[874972, 1131321, 838186, 883202, 1099089]"
136,"[12812261, 854852, 7467039, 8090537, 849297]"
137,"[874972, 1029743, 5569230, 916122, 844179]"
138,"[874972, 6464147, 862335, 5569230, 5587656]"
139,"[874972, 907099, 1022254, 1082185, 1038692]"
140,"[874972, 5569230, 844179, 1029743, 916122]"
141,"[874972, 1029743, 5569230, 916122, 844179]"
142,"[874972, 1082212, 1029743, 1106523, 5569230]"
143,"[874972, 9245106, 883932, 12731714, 1016276]"
144,"[874972, 895680, 5568729, 7024871, 999198]"
145,"[874972, 1038985, 1115358, 5569471, 1029743]"
146,"[874972, 1106523, 5569230, 916122, 844179]"
147,"[956599, 1029743, 1106523, 5569230, 916122]"
148,"[850102, 866211, 950206, 1136719, 5569230]"
149,"[906844, 1000493, 9527323, 6533936, 873044]"
150,"[874972, 1029743, 5569230, 916122, 844179]"
151,"[874972, 982955, 1005456, 963365, 872137]"
152,"[874972, 832678, 866211, 1037332, 879504]"
153,"[874972, 1029743, 1106523, 5569230, 916122]"
154,"[874972, 848878, 857540, 1029743, 1106523]"
155,"[874972, 6463483, 979877, 1029743, 883932]"
156,"[1000753, 1065061, 5564948, 1069522, 1051323]"
157,"[874972, 1012587, 928932, 1083446, 901666]"
158,"[874972, 12731714, 1128240, 1029743, 1106523]"
159,"[874972, 1099089, 907631, 825289, 1004906]"
160,"[874972, 865456, 973916, 1029743, 1106523]"
161,"[1108094, 899459, 1056212, 1075368, 935527]"
162,"[874972, 1059823, 989824, 1070820, 1122358]"
163,"[874972, 1029743, 1106523, 5569230, 916122]"
164,"[874972, 894439, 1003257, 1029743, 961353]"
165,"[874972, 1106523, 1098844, 8090541, 6464086]"
166,"[874972, 1097635, 1043751, 1075368, 1029743]"
167,"[874972, 943362, 1029743, 1106523, 5569230]"
168,"[874972, 1106523, 5569230, 916122, 844179]"
169,"[874972, 1029743, 5569230, 916122, 844179]"
170,"[874972, 1029743, 5569230, 916122, 844179]"
171,"[874972, 1029743, 929018, 1044078, 5568845]"
172,"[874972, 856252, 907099, 891632, 5569230]"
173,"[874972, 1029743, 5569230, 916122, 844179]"
174,"[874972, 1029743, 5569230, 916122, 844179]"
175,"[874972, 938300, 995478, 1029743, 1106523]"
176,"[874972, 1029743, 916122, 5569230, 844179]"
177,"[874972, 992649, 1029743, 1106523, 5569230]"
178,"[874972, 1072693, 1021519, 963686, 1106523]"
179,"[874972, 1029743, 916122, 5569230, 844179]"
180,"[874972, 1029743, 1106523, 5569230, 916122]"
181,"[874972, 1029743, 5569230, 916122, 844179]"
182,"[874972, 913210, 1004906, 12301100, 1106271]"
183,"[874972, 878996, 1106523, 1029743, 1106523]"
184,"[12812261, 1018740, 1065167, 896085, 9187298]"
185,"[874972, 1101010, 983584, 8090537, 1029743]"
186,"[874972, 1029743, 5569230, 916122, 844179]"
187,"[874972, 1029743, 916122, 5569230, 844179]"
188,"[874972, 12301405, 934639, 1029743, 1106523]"
189,"[874972, 10143885, 1048046, 986912, 1083787]"
190,"[874972, 1106523, 5569230, 916122, 844179]"
191,"[874972, 904777, 960732, 1015474, 5592931]"
192,"[874972, 871188, 870547, 5569230, 1029743]"
193,"[874972, 9553048, 1131382, 8090537, 1106523]"
194,"[866548, 5569471, 1106523, 1051468, 838186]"
195,"[874972, 852360, 910032, 1062128, 1029743]"
196,"[1000753, 854261, 918684, 926905, 1024306]"
197,"[874972, 942525, 1126899, 838186, 1029743]"
198,"[836445, 971474, 9521787, 5569230, 886395]"
199,"[874972, 862725, 5569376, 908318, 863447]"
200,"[874972, 988791, 1029743, 1106523, 5569230]"
201,"[874972, 960613, 899624, 6034857, 1103476]"
202,"[874972, 1106523, 916122, 5569230, 844179]"
203,"[1071302, 1029743, 1106523, 5569230, 916122]"
204,"[874972, 961979, 15926844, 1029743, 1106523]"
205,"[874972, 1047769, 1024032, 1106523, 925862]"
206,"[874972, 7152455, 1106523, 8291322, 1029743]"
207,"[874972, 913210, 9527408, 1013703, 1082185]"
208,"[9419528, 1004906, 896862, 885290, 1070820]"
209,"[874972, 6034857, 1118757, 8090532, 912451]"
210,"[874972, 946839, 985893, 910473, 999779]"
211,"[874972, 901666, 1062002, 998444, 1082185]"
212,"[874972, 1101858, 883932, 952972, 832442]"
213,"[874972, 1029743, 5569230, 916122, 844179]"
214,"[874972, 996259, 13213604, 944836, 1133101]"
215,"[874972, 6533936, 15926844, 12810393, 1029743]"
216,"[874972, 5569230, 12132685, 1011926, 974204]"
217,"[874972, 1029743, 1106523, 5569230, 916122]"
218,"[969725, 951561, 1044078, 894439, 965772]"
219,"[1130729, 1097635, 823099, 9653535, 916758]"
220,"[874972, 1008032, 5568729, 1123022, 1103629]"
221,"[874972, 1068719, 1060408, 1043751, 12427353]"
222,"[874972, 940947, 947201, 6464147, 952568]"
223,"[12731432, 1103105, 989275, 904129, 1051283]"
224,"[874972, 989069, 913278, 1102879, 1102949]"
225,"[874972, 1029743, 1106523, 5569230, 916122]"
226,"[874972, 866211, 871061, 9245106, 1004906]"
227,"[874972, 1125391, 890955, 1029743, 1106523]"
228,"[874972, 1055504, 1022254, 852856, 1029743]"
229,"[874972, 1106523, 916122, 5569230, 844179]"
230,"[874972, 890695, 1023815, 913210, 8090532]"
231,"[874972, 1029743, 5569230, 916122, 844179]"
232,"[874972, 1031864, 15926844, 1014388, 976199]"
233,"[874972, 1027642, 872137, 1113438, 1133850]"
234,"[874972, 1029743, 5569230, 916122, 844179]"
235,"[1075007, 916758, 888543, 983584, 5565202]"
236,"[849202, 856252, 1016709, 957736, 884945]"
237,"[874972, 9419487, 1113438, 5569471, 890620]"
238,"[874972, 12757544, 1106523, 1102416, 1029743]"
239,"[12731685, 1106523, 1135834, 939546, 850925]"
240,"[874972, 909268, 1029743, 1106523, 5569230]"
241,"[874972, 1029743, 916122, 5569230, 844179]"
242,"[9677366, 6602697, 7139529, 978343, 1029743]"
243,"[874972, 1078666, 881249, 1126899, 6034857]"
244,"[874972, 859191, 1008547, 834117, 929018]"
245,"[874972, 1029743, 1106523, 5569230, 916122]"
246,"[874972, 1029743, 1106523, 5569230, 916122]"
247,"[12262978, 1044188, 1076954, 986912, 9419487]"
248,"[874972, 1131321, 1032512, 1126899, 910473]"
249,"[874972, 1029743, 1029743, 1106523, 5569230]"
250,"[955259, 1026118, 892500, 923169, 963835]"
251,"[849202, 922847, 852856, 870315, 1029743]"
252,"[874972, 1029743, 5569230, 916122, 844179]"
253,"[12731685, 1051516, 1027068, 832678, 922561]"
254,"[874972, 921406, 916122, 1098485, 1082269]"
255,"[909497, 956274, 940947, 5569230, 844179]"
256,"[1034176, 925863, 946244, 1013167, 964520]"
257,"[874972, 1118033, 939546, 1106523, 918046]"
258,"[1048257, 9655482, 883202, 1044078, 6034857]"
259,"[874972, 972143, 824931, 940947, 1087605]"
260,"[874972, 1029743, 1106523, 5569230, 916122]"
261,"[836445, 862335, 981086, 999779, 865456]"
262,"[874972, 1131321, 1043751, 1008814, 901062]"
263,"[874972, 9245106, 5568729, 940947, 1110244]"
264,"[874972, 1029743, 916122, 5569230, 844179]"
265,"[874972, 1029743, 5569230, 916122, 844179]"
266,"[874972, 1029743, 5569230, 916122, 844179]"
267,"[874972, 935393, 1029743, 1106523, 5569230]"
268,"[874972, 1029743, 5569230, 916122, 844179]"
269,"[947858, 938596, 863447, 1009361, 844179]"
270,"[874972, 1029743, 916122, 5569230, 844179]"
271,"[874972, 1029743, 1106523, 5569230, 916122]"
272,"[874972, 1029743, 5569230, 916122, 844179]"
273,"[874972, 5568729, 823704, 5569230, 6979579]"
274,"[874972, 1029743, 5569230, 916122, 844179]"
275,"[12810389, 988791, 12301109, 1106523, 923789]"
276,"[970747, 972416, 907099, 1075368, 5569471]"
277,"[874972, 5569230, 889509, 902094, 1061732]"
278,"[874972, 897125, 9833277, 1029743, 1106523]"
279,"[874972, 949242, 940947, 866211, 944534]"
280,"[874972, 1122358, 930666, 1106523, 1044078]"
281,"[874972, 1070820, 1029743, 1106523, 5569230]"
282,"[874972, 832768, 1044078, 5571261, 1118046]"
283,"[984680, 1044500, 991223, 7409644, 5569230]"
284,"[874972, 1106523, 5569230, 916122, 844179]"
285,"[12262978, 929018, 1120261, 6464147, 1013389]"
286,"[874972, 986912, 1132771, 933835, 1029743]"
287,"[833940, 9245108, 1029743, 5569230, 890695]"
288,"[874972, 865705, 5577022, 983584, 1070820]"
289,"[874972, 1135044, 842140, 1125497, 1051468]"
290,"[1013928, 895930, 969866, 6423911, 898554]"
291,"[874972, 5566307, 1086483, 911311, 1135476]"
292,"[874972, 1106523, 1135834, 1110244, 5565612]"
293,"[12810464, 956486, 1037863, 9553382, 10456568]"
294,"[874972, 1024306, 844179, 9245108, 8090509]"
295,"[874972, 1029743, 5569230, 916122, 844179]"
296,"[874972, 1029743, 5569230, 916122, 844179]"
297,"[874972, 1067695, 890695, 12648296, 8090537]"
298,"[874972, 1029743, 5569230, 916122, 844179]"
299,"[874972, 1029743, 5569230, 916122, 844179]"
300,"[874972, 9245106, 902094, 1106523, 9655212]"
301,"[1046562, 1074333, 12946027, 5565322, 856252]"
302,"[874972, 5568320, 1027168, 1029743, 1106523]"
303,"[874972, 883202, 890695, 1101010, 8090521]"
304,"[947858, 1074333, 7409951, 871061, 1122358]"
305,"[874972, 838186, 9858847, 1102845, 976199]"
306,"[9832469, 923670, 941368, 1101010, 7463287]"
307,"[874972, 1076056, 1074040, 897954, 927028]"
308,"[874972, 872137, 1037965, 5569230, 887102]"
309,"[874972, 1029743, 5569230, 916122, 844179]"
310,"[874972, 1029743, 5569230, 916122, 844179]"
311,"[874972, 998119, 880377, 1106523, 5585510]"
312,"[874972, 1029743, 5569230, 916122, 844179]"
313,"[874972, 1029743, 5569230, 916122, 844179]"
314,"[882308, 999858, 5564901, 820486, 1106523]"
315,"[874972, 1029743, 5569230, 916122, 844179]"
316,"[947858, 6034857, 844179, 893018, 1131344]"
317,"[12984576, 960613, 926033, 983584, 1003257]"
318,"[874972, 5569230, 1106523, 1076056, 1029743]"
319,"[874972, 865026, 1101010, 1011303, 1029743]"
320,"[12731517, 832678, 999714, 1055155, 5569845]"
321,"[874972, 890695, 829323, 986912, 6534030]"
322,"[874972, 854852, 859427, 1029743, 1106523]"
323,"[874972, 1029743, 5569230, 916122, 844179]"
324,"[874972, 9655482, 1060408, 1026258, 5569230]"
325,"[7410217, 1062128, 922561, 5569471, 918676]"
326,"[1013928, 1037840, 1097635, 8090521, 1101010]"
327,"[874972, 1029743, 5569230, 916122, 844179]"
328,"[1048257, 847207, 944836, 1070820, 885290]"
329,"[874972, 871722, 933835, 944836, 854852]"
330,"[874972, 1029743, 5569230, 916122, 844179]"
331,"[874972, 1083043, 1062002, 896085, 989830]"
332,"[1046562, 1126899, 983584, 1056267, 8090541]"
333,"[874972, 1029743, 5569230, 916122, 844179]"
334,"[874972, 864279, 1024306, 1056509, 834435]"
335,"[12384565, 868888, 1053530, 9836353, 835300]"
336,"[874972, 1029743, 916122, 5569230, 844179]"
337,"[874972, 1106523, 5569230, 916122, 844179]"
338,"[959737, 865026, 993638, 1106523, 835098]"
339,"[874972, 831181, 1081262, 1106523, 1031864]"
340,"[874972, 1106523, 5569230, 916122, 844179]"
341,"[874972, 1029743, 1106523, 5569230, 916122]"
342,"[874972, 1136524, 1070304, 1029743, 1029743]"
343,"[874972, 1117219, 1034956, 864279, 872137]"
344,"[874972, 1029743, 5569230, 916122, 844179]"
345,"[874972, 1131321, 907099, 6602697, 6979248]"
346,"[874972, 904833, 1071336, 1101010, 986912]"
347,"[874972, 1110409, 1029743, 1106523, 5569230]"
348,"[874972, 1002771, 1008074, 1029743, 1056509]"
349,"[874972, 963365, 907099, 5569471, 991223]"
350,"[969725, 1006878, 885863, 883003, 7024871]"
351,"[8020166, 1069863, 946839, 1077133, 1106523]"
352,"[874972, 1029743, 5569230, 916122, 844179]"
353,"[1012514, 847374, 9655212, 936830, 944139]"
354,"[849202, 1042544, 921504, 1031087, 8019233]"
355,"[874972, 1029743, 5569230, 916122, 844179]"
356,"[13506119, 5569230, 995628, 1029743, 1131506]"
357,"[917384, 5569230, 1115711, 1126899, 1122358]"
358,"[1111080, 1103105, 995916, 5568489, 862010]"
359,"[874972, 1029743, 5569230, 916122, 844179]"
360,"[874972, 1029743, 1106523, 5569230, 916122]"
361,"[1134483, 898121, 6534030, 1101010, 1018740]"
362,"[872342, 1081177, 878996, 12731714, 1130517]"
363,"[874972, 1029743, 5569230, 916122, 844179]"
364,"[874972, 872137, 1022827, 8011291, 1102416]"
365,"[14106445, 5569845, 1090676, 986912, 943169]"
366,"[874972, 1029743, 5569230, 916122, 844179]"
367,"[9524291, 6534030, 986912, 1083043, 833724]"
368,"[904129, 1106523, 8293439, 6533936, 1083446]"
369,"[874972, 1106523, 5569230, 916122, 844179]"
370,"[874972, 1029743, 1127831, 5569230, 916122]"
371,"[1054402, 1025611, 12731714, 6533936, 941368]"
372,"[874972, 1106523, 5569230, 916122, 844179]"
373,"[874972, 1029743, 5569230, 916122, 844179]"
374,"[1050741, 9527159, 13382073, 1026118, 1037840]"
375,"[874972, 6464165, 957164, 871756, 1029743]"
376,"[874972, 1076226, 890909, 1009187, 1044078]"
377,"[874972, 1122358, 921504, 1082185, 1126899]"
378,"[948670, 1050851, 930666, 904521, 874972]"
379,"[874972, 1029743, 5569230, 916122, 844179]"
380,"[1013928, 1068719, 1024306, 1098284, 965766]"
381,"[1034176, 1106523, 9296919, 1075368, 1051323]"
382,"[874972, 963835, 5569230, 1029743, 1101010]"
383,"[874972, 1029743, 5569230, 916122, 844179]"
384,"[874972, 5568447, 854852, 1075368, 1055504]"
385,"[874972, 963336, 1136732, 1031419, 1004906]"
386,"[874972, 1101010, 1108296, 1106523, 842423]"
387,"[6551861, 10455984, 1109778, 1126899, 1009719]"
388,"[874972, 1074333, 849505, 6391532, 1082185]"
389,"[5578437, 1093413, 890695, 891632, 1126899]"
390,"[12731432, 944836, 843464, 5569230, 1029743]"
391,"[874972, 1106523, 5569230, 916122, 844179]"
392,"[12262830, 7168026, 999104, 891632, 6034577]"
393,"[1013928, 1055155, 7410336, 820486, 1029743]"
394,"[874972, 1029743, 1106523, 5569230, 916122]"
395,"[874972, 1070820, 6463729, 1029743, 1106523]"
396,"[874972, 901062, 909714, 1126899, 1024306]"
397,"[874972, 1120928, 1126899, 892573, 914577]"
398,"[874972, 1053329, 1029743, 1106523, 5569230]"
399,"[874972, 1075368, 1029743, 1106523, 5569230]"
400,"[9524291, 956274, 1031316, 5567702, 5566235]"
401,"[1012514, 1116635, 1005274, 986912, 942166]"
402,"[874972, 12132315, 1136033, 853448, 5591520]"
403,"[874972, 945662, 1082185, 1029743, 1106523]"
404,"[9392953, 8069230, 908283, 1092588, 992986]"
405,"[948670, 1126899, 5568072, 1101010, 12301100]"
406,"[874972, 1070845, 882247, 1110409, 858373]"
407,"[874972, 1029743, 5569230, 916122, 844179]"
408,"[874972, 862318, 1085357, 9856740, 903800]"
409,"[874972, 907099, 1137387, 1070820, 5569471]"
410,"[874972, 999858, 13210025, 1044078, 847790]"
411,"[874972, 957063, 922636, 1139782, 1092937]"
412,"[874972, 916758, 1138467, 986912, 866540]"
413,"[874972, 992151, 979707, 970160, 1106523]"
414,"[874972, 885582, 12757316, 1029743, 1106523]"
415,"[874972, 1029743, 1106523, 5569230, 916122]"
416,"[874972, 1106523, 5569230, 916122, 844179]"
417,"[874972, 1074333, 908318, 1029743, 844179]"
418,"[901067, 976199, 901062, 13190349, 1065061]"
419,"[874972, 1029743, 1106523, 5569230, 916122]"
420,"[874972, 1029743, 1106523, 5569230, 916122]"
421,"[1038663, 13190240, 981086, 1126899, 854852]"
422,"[874972, 5569230, 916122, 1029743, 844179]"
423,"[874972, 1029743, 916122, 5569230, 844179]"
424,"[1069506, 1029743, 1106523, 5569230, 916122]"
425,"[874972, 1125530, 1077745, 1070820, 913210]"
426,"[874972, 852360, 1110409, 1011926, 945909]"
427,"[956599, 835300, 901062, 1082185, 1029743]"
428,"[874972, 1106523, 5569230, 916122, 844179]"
429,"[874972, 1106523, 5569230, 916122, 844179]"
430,"[1000493, 1075368, 1097635, 983584, 5569230]"
431,"[874972, 1092937, 1029743, 1106523, 5569230]"
432,"[899019, 880888, 938319, 5569230, 1029743]"
433,"[874972, 949142, 1106523, 849003, 1082185]"
434,"[874972, 956486, 933067, 1068292, 1127758]"
435,"[874972, 6533608, 970160, 851569, 1029743]"
436,"[1069312, 916758, 1074333, 1029743, 1024306]"
437,"[947858, 7409618, 6633224, 835098, 9803591]"
438,"[12810391, 5568489, 1122358, 9881593, 832678]"
439,"[874972, 1029743, 1106523, 5569230, 916122]"
440,"[874972, 1029743, 5569230, 916122, 844179]"
441,"[874972, 8293385, 1137688, 1038985, 6602729]"
442,"[9831557, 1001277, 889509, 1126899, 835098]"
443,"[874972, 7463287, 1115358, 1081177, 1082185]"
444,"[874972, 1029743, 5569230, 916122, 844179]"
445,"[874972, 9526572, 1029743, 1106523, 5569230]"
446,"[874972, 1029743, 1106523, 5569230, 916122]"
447,"[874972, 826835, 959172, 1029743, 5592931]"
448,"[1065538, 999104, 9881593, 870547, 870929]"
449,"[874972, 957063, 13382073, 1029743, 1106523]"
450,"[874972, 12810393, 1093413, 1024051, 1029743]"
451,"[874972, 9677236, 835300, 1029743, 844179]"
452,"[874972, 1029743, 1106523, 5569230, 916122]"
453,"[874972, 1029743, 5569230, 916122, 844179]"
454,"[9524291, 8205418, 922636, 5981267, 6464208]"
455,"[874972, 1106523, 916122, 5569230, 844179]"
456,"[874972, 12648296, 951412, 5569230, 901916]"
457,"[5590965, 844179, 899624, 1029743, 1081177]"
458,"[874972, 6034857, 959219, 916993, 6979545]"
459,"[863762, 865528, 986912, 885290, 1029743]"
460,"[874972, 916122, 1082185, 1029743, 1106523]"
461,"[874972, 1029743, 1106523, 5569230, 916122]"
462,"[874972, 921504, 823862, 1011926, 1137775]"
463,"[874972, 837270, 847790, 1082185, 1106523]"
464,"[850102, 1016782, 1121360, 5569374, 993638]"
465,"[874972, 1029743, 5569230, 916122, 844179]"
466,"[874972, 1046756, 1029743, 1106523, 5569230]"
467,"[1069863, 6034857, 923149, 1029743, 1081177]"
468,"[917384, 983584, 5583751, 1106523, 1131506]"
469,"[849202, 1117219, 963835, 5569230, 1000493]"
470,"[874972, 937791, 1119784, 1029743, 1106523]"
471,"[874972, 5568489, 933067, 999104, 858373]"
472,"[874972, 1029743, 1106523, 5569230, 916122]"
473,"[874972, 913671, 1081177, 15926886, 990656]"
474,"[1038663, 5569230, 1106523, 1056509, 922636]"
475,"[874972, 1029743, 1106523, 5569230, 916122]"
476,"[874972, 5587656, 829291, 1029743, 1106523]"
477,"[12731432, 1103105, 936117, 1029743, 12302069]"
478,"[874972, 1029743, 5569230, 916122, 844179]"
479,"[874972, 986912, 1015597, 1029743, 1106523]"
480,"[874972, 1029743, 1106523, 5569230, 916122]"
481,"[825343, 987044, 1012922, 972416, 6464086]"
482,"[874972, 1051516, 1059473, 1029743, 1106523]"
483,"[947858, 12263841, 1017201, 1029743, 1106523]"
484,"[874972, 855488, 984575, 1006483, 910473]"
485,"[904129, 1074333, 844179, 972665, 5569471]"
486,"[874972, 1029743, 1106523, 5569230, 916122]"
487,"[874972, 1029743, 1106523, 5569230, 916122]"
488,"[874972, 13841744, 8090440, 1113111, 934639]"
489,"[943940, 883202, 993638, 986912, 1019247]"
490,"[874972, 6463717, 910032, 1075368, 5569471]"
491,"[874972, 1011926, 885023, 6533936, 1056509]"
492,"[874972, 1029743, 844179, 5569230, 916122]"
493,"[12731432, 8090513, 5565356, 1029743, 819927]"
494,"[874972, 1029743, 5569230, 916122, 844179]"
495,"[874972, 895680, 1029743, 1106523, 5569230]"
496,"[874972, 5563934, 883932, 1076056, 861279]"
497,"[874972, 976199, 6979803, 1029743, 1085031]"
498,"[874972, 913210, 1029743, 946839, 834435]"
499,"[874972, 1029743, 5569230, 916122, 844179]"
500,"[874972, 1029743, 5569230, 916122, 844179]"
501,"[874972, 5569471, 883003, 922561, 1061732]"
502,"[874972, 1029743, 1106523, 5569230, 916122]"
503,"[874972, 901776, 1056509, 1119405, 1070820]"
504,"[874972, 1029743, 5569230, 916122, 844179]"
505,"[874972, 844179, 1018007, 1029743, 1106523]"
